english,portuguese
showed,"[showed] mostrou, alarde, aparecemos, aparecer, apareceram, apareceu, apareci, aparecia, apareciam, aparecido, aparecíamos, dado, dar, dava, davam, dei, demonstração, demos, deram, deu, dávamos, espalhafato, espectáculo, espetáculo, estado à vista, estar à vista, estava à vista, estavam à vista, esteve à vista, estive à vista, estivemos à vista, estiveram à vista, estávamos à vista, expor, exposição, expunha, expunham, expus, expusemos, expuseram, expôs, expúnhamos, manifestação, marcado, marcamos, marcar, marcaram, marcava, marcavam, marcou, marcávamos, marquei, mostra, mostrado, mostramos, mostrar, mostraram, mostraste, mostrava, mostravam, mostrei, mostrávamos, passado, passamos, passar, passaram, passava, passavam, passei, passou, passávamos, show, ver-se"
shows,"[shows] mostra, aparece, estar à vista, aparecer, apareces, espectáculos, espetáculos, está à vista, expor, expõe, mostrar, mostras, programas, shows"
shut,"[shut] fechar, fecha, fechar-se, encerra, encerrado, encerrar, encerrava, encerrou, fechado, fecharem, fechava, feche, fechei, fechou"
siblings,"[siblings] irmãos, irmãos e irmãs"
sick,"[sick] doente, enjoada, doentes, enferma, enfermo, enjoado, enjoados"
side,"[side] lado, acompanhamento, beira, encosta, equipa, equipe"
sight,"[sight] vista, visão, avista, avistam, avistar, avistou, cena, divisa, divisam, divisar, mira, veem, vejo, ver, viu, vê"
sightseeing,"[sightseeing] um passeio turístico, o passeio turístico"
sign,"[sign] sinal, signo, faço sinal, assina, assinam, assinamos, assinar, assinarei, assinaremos, assinará, assine, assino, cadastre, farei sinal, faremos sinal, fará sinal, faz sinal, fazem sinal, fazemos sinal, fazer sinal, fiz sinal, placa, placa de"
signal,"[signal] sinal, fazer sinal para, fizeram sinal para, faz signal, faz sinal para, fazer signal, fez signal, fez sinal para, fizeram signal"
signature,[signature] assinatura
signs,"[signs] assina, sinais, sinaliza, assinar, faz sinal, fazer sinal, placas, signos"
silver,"[silver] prata, de prata, prateado, prateados, pratas, prataria, prateadas, prateada"
simple,[simple] simples
since,"[since] desde, desde que, desde então, há, já, uma vez que, visto que"
since then,[since then]
sing,"[sing] cantar, canto, cantam, canta, cantamos, cantaram, cantarei, cantaria, cantará, cantarão, cantou, cantávamos"
singing,"[singing] cantando, cantar, canto, de cantar"
single,"[single] única, bilhete de ida simples, de ida, de solteiro, disco de 45 r.p.m, individual, simples, solteira, solteiro, solteiros, só, único"
sister,"[sister] irmã, freira"
sisters,"[sisters] irmãs, enfermeira-chefe, freiras"
sit down,"[sit down] sente-se, sentar, sentar-se"
site,"[site] site, lugar, local, localiza, localizam, localizamos, localizar, localizará, localizarão, localizo, situa, situam, situamos, situar, situará, situarão, situo, website"
sites,"[sites] lugares, locais, localiza, localizar, reunir-se, sentar(-se), sites, situa, situar, websites"
sitting,"[sitting] sentado, sessão, me sentar, reunir-se, reunião, sentada, sentadas, sentados, sentando, sentar, serviço"
situation,"[situation] situação, colocação, emprego"
situations,"[situations] situações, colocação, empregos, situação"
six,"[six] seis, meia"
sixteen,"[sixteen] dezesseis, dezasseis, dezesseis anos"
sixth,"[sixth] sexta, sexto, dia seis de, sextas"
sixty,"[sixty] sessenta, sessanta anos"
size,"[size] tamanho, número, grandeza, medida"
sizes,"[sizes] tamanhos, grandezas, medidas, números"
skateboarding,"[skateboarding] andar de skate, de skate"
skin,"[skin] pele, tira a pele de, tirar a pele de, casca, descasca, descascam, descascar, descasco, esfola, esfolam, esfolar, esfolo, pela, tiram a pele de, tiro a pele de"
skirt,"[skirt] saia, contorna, contornam, contornamos, contornar, contornaremos, contorno, ladeamos, ladear, ladearemos, ladeia, ladeiam, ladeio"
skirts,"[skirts] saias, contorna, contornar, ladear, ladeia"
sky,[sky] céu
sleep,"[sleep] dormir, durmo, dormem, aloja, alojam, alojamos, alojar, alojaram, alojarei, alojaremos, alojará, alojarão, alojei, alojo, alojou, dorme, dormi, dormimos, dormiram, dormiria, dormirão, dormiu, durma, sono"
sleeping,"[sleeping] dormindo, dormir, adormecido, alojando, dormido"
sleeps,"[sleeps] dorme, dormir, aloja, alojar, sonos, tem lugar para, ter lugar para"
slept,"[slept] dormido, dormiu, dormia, dorme, dormi, dormiam, dormimos, dormir, dormiram, dormiriam, dormíamos"
slowly,"[slowly] devagar, lentamente, vagarosamente"
small,"[small] pequeno, pequena, pequenos, pequenas"
smaller,"[smaller] menor, menores"
smallest,"[smallest] pequeno, menor"
smile,"[smile] sorriso, sorrio, sorri, sorria, sorriem, sorrir, sorriria, sorriu"
smiles,"[smiles] sorri, sorrir, sorrisos"
smoke,"[smoke] fumaça, fuma, fumo, defuma, defumam, defumamos, defumar, defumo, defumou, fumam, fumar, fume, fumega, fumegam, fumegamos, fumegar, fumego, fumegou, fumou"
smoking,"[smoking] de fumar, fumando, fumar, defumando, fumegando"
snow,"[snow] neve, nevar"
snowboarding,[snowboarding] snowboard
so,"[so] tão, para que, assim, aí, daí, então, logo, muito, para, por isso, portanto, que sim, tanta, tanto"
so much,"[so much] tantos, tão, tanto, mesmo, tanta"
soap,"[soap] sabão, ensaboa, ensaboam, ensaboamos, ensaboar, ensaboaria, ensaboo, ensaboou, sabonete"
soccer,[soccer] futebol
society,[society] sociedade
socks,[socks] meias
sofa,[sofa] sofá
software,"[software] programa, software"
soil,"[soil] solo, terra"
sold,"[sold] venderam, vendemos, vendidos, vendeu, vendi, vendido, vender"
soldier,[soldier] soldado
soldiers,[soldiers] soldados
solution,[solution] solução
solutions,"[solutions] soluções, solução"
some,"[some] algumas, alguns, um, algum, alguma, certas, certos, parte de, parte do, pouco, um certo, um pouco, um pouco de, um tanto, uma, umas, uns"
somebody,[somebody] alguém
someone,"[someone] alguém, algum"
something,"[something] alguma coisa, algo, uma coisa"
sometimes,"[sometimes] às vezes, de vez em quando, algumas vezes"
somewhere,"[somewhere] em algum lugar, para algum lugar, a algum lugar"
son,[son] filho
song,"[song] música, canção"
songs,"[songs] músicas, canções, música"
sons,"[sons] filhos, meninos"
soon,"[soon] logo, cedo, em breve, breve, daqui a pouco, dentro em pouco, já"
sorry,"[sorry] desculpe, me desculpe, sinto muito, desculpa, lamentamos, lamento, lamento que, perdão, sente muito, triste"
soul,"[soul] alma, soul"
sound,"[sound] som, soa, paracer, parece, parecem, parecer, soar, soaram, soaria, soariam, soou, são, sãos"
soup,[soup] sopa
south,"[south] sul, do sul, ao/para o sul, a, meridional"
south korea,[south korea]
space,"[space] espaço, espacial, lugar, período"
spaces,"[spaces] espaços, espaciais, lugares, períodos"
spanish,"[spanish] espanhol, espanhóis, da Espanha, espanhola, espanholas"
speak,"[speak] falar, fala, falo, conversamos, conversar, converso, digo, diremos, diria, diriam, dirá, dirão, diríamos, discurso, disse, dissemos, disseram, diz, dizem, dizemos, dizer, falam, falamos, falaram, falarei, falaremos, falaria, falariam, falará, falarão, falaríamos, falas, falasse, falassem, fale, falei, falou, oradora"
speak more slowly,[speak more slowly]
speaking,"[speaking] falando, falar, conversando, dizendo, falado"
speaks,"[speaks] fala, conversa, conversar, falam, falar"
special,"[special] especial, especiais, promoção"
speech,"[speech] discurso, fala, elocução, falar"
speed,"[speed] acelerar, correr, exceda a velocidade, exceda o limite, exceder a velocidade, exceder o limite"
spend,"[spend] passarei, gasto, passo, gasta, gastam, gastamos, gastar, gastaram, gastarei, gastará, gastarão, gastaríamos, gaste, gastou, passa, passam, passamos, passar, passaram, passaremos, passará, passarão, passaríamos, passe, passou"
spend time,"[spend time] gastar tempo, passar tempo, perder tempo"
spent,"[spent] passado, passei, gastado, gastamos, gastar, gastaram, gastaria, gastava, gastavam, gastei, gasto, gastou, gastávamos, passamos, passar, passaram, passaria, passava, passavam, passou, passávamos"
spider,[spider] aranha
spoke,"[spoke] falei, falou, conversamos, disse, dissemos, disseram, dizer, dizia, diziam, dizíamos, falamos, falar, falaram, falasse, falassem, falava, falavam, falávamos, nos falamos"
sponge,"[sponge] esponja, lava com esponja, limpa com esponja, fila, lavam com esponja, lavar com esponja, lavo com esponja, limpam com esponja, limpar com esponja, limpo com esponja"
spoon,[spoon] colher
spoons,[spoons] colheres
sport,"[sport] esporte, desporto"
sports,"[sports] esporte, esportes, de esportes, desporto, desportos"
spring,"[spring] primavera, fará, faz, fazem, fazemos, fazer, faço, fonte, mola, nasce, nascem, nascemos, nascente, nascer, nascerá, nasço, pula, pulam, pulamos, pular, pulará, pulo, sair-se com, salta, saltam, saltar, salto"
square,"[square] praça, quadrada, quadrado, quadradas, quadrados"
staff,"[staff] pessoal, empregados, equipe, funcionários, pessoalmente, provê de pessoal"
stage,"[stage] palco, etapa, encena, encenam, encenamos, encenar"
stages,"[stages] etapas, estágios, palcos, cervos, encena, encenar, estrados, fases, organiza, organizar, passos, pontos, põe em cena"
stairs,"[stairs] escada, escadas, degrau, degraus"
stamps,"[stamps] selos, selos (postais), carimbos"
star,"[star] estrelar, estrela, astro, celebridade, estrelas, protagonizam, tem como actor principal, tem no papel principal, tenho como actor principal, tenho no papel principal, ter como actor principal, ter no papel principal, terá como actor principal, terá no papel principal, têm como actor principal, têm no papel principal, vedete"
stars,"[stars] estrelas, celebridade, celebridades, estrela, protagoniza, tem como actor principal, tem no papel principal, ter como actor principal, ter no papel principal, vedete"
start,"[start] começar, iniciar, começa, arranca, arrancam, arrancamos, arrancar, arrancaram, arrancarei, arrancaremos, arranco, arrancou, avanço, causa, causam, causamos, causar, causaram, causarei, causaremos, causará, causo, causou, comece, começam, começamos, começaram, começarei, começaremos, começarmos, começará, começarão, começo, começou, estremece, estremecem, estremecemos, estremecer, estremeceram, estremecerei, estremeceremos, estremecerá, estremeceu, estremecimento, estremeço, início, lança, lançam, lançamos, lançar, lançaram, lançarei, lançaremos, lançará, lanço, lançou, largada, liga, ligam, ligamos, ligar, ligaram, ligarei, ligaremos, ligará, ligo, ligou, parte, partem, partida, partimos, partir, partiram, partirei, partiremos, partiu, parto, pegar, provoca, provocam, provocamos, provocar, provocaram, provocarei, provocaremos, provoco, provocou, sobressaltar-se, sobressalto"
started,"[started] começou, começaram, passei a, causado, causamos, causaram, causava, causavam, causei, causou, causávamos, comecei, começado, começamos, começar, começarmos, começava, começavam, começávamos, iniciamos, iniciaram, iniciei, iniciou, lancei, lançado, lançamos, lançaram, lançava, lançavam, lançou, lançávamos, ligado, ligamos, ligar, ligaram, ligava, ligavam, ligou, liguei, ligávamos, parti, partia, partiam, partido, partimos, partir, partiram, partiu, partíamos, passamos a, passaram a, passou a, provocado, provocamos, provocaram, provocava, provocavam, provocou, provocávamos, provoquei"
starting,"[starting] começar, começando, pondo em andamento, arrancando, causando, estremecendo, lançando, ligando, partindo, provocando, sobressaltar-se"
starts,"[starts] começa, começar, partir, arranca, arrancar, avanços, causa, causar, comece, começos, estremece, estremecer, estremecimentos, inicia, inícios, lança, lançar, largadas, liga, ligar, parte, partidas, provoca, provocar, pôr em andamento, põe em andamento, sobressaltar-se, sobressaltos"
station,"[station] estação, posto, coloca, colocam, colocamos, colocar, colocará, colocarão, coloco, condição, estações"
stay,"[stay] ficar, fique, fico, alojar-se, demorar-se, engana, enganam, enganamos, enganar, enganaram, enganarei, enganaremos, enganaria, enganará, enganarão, engano, enganou, estada, estadia, estamos, estar, estarei, estaremos, estaria, estará, estarão, esteve, estivemos, estiveram, estou, está, estão, fica, ficam, ficamos, ficaram, ficarei, ficarem, ficaremos, ficaria, ficarmos, ficará, ficarão, ficas, ficou, fiquem, hospedar-se, manter-se, permanece, permanecem, permanecer, permaneceram, permanecerei, permaneceria, permanecerá, permanecerão, permaneceu, permaneço, permanência, visita"
stayed,"[stayed] ficado, alojar-se, hospedar-se, demorar-se, enganado, enganamos, enganar, enganaram, enganaria, enganava, enganavam, enganei, enganou, enganávamos, estado, estar, estaria, estariam, estava, estavam, esteve, estive, estivemos, estiveram, estávamos, ficamos, ficar, ficaram, ficaria, ficava, ficavam, ficou, ficávamos, fiquei, me hospedei, permanecemos, permaneceram, permaneceria, permaneceu, permaneci, permanecia, permaneciam, permanecido, permanecíamos, se hospedaram, se hospedou"
step,"[step] passo, degrau, etapa, pise"
still,"[still] ainda, até agora, apesar, calma, calmo, entretanto, imóvel, parada, parado, quieta, quieto"
stole,"[stole] roubar, roubaram, roubou, roubavam"
stolen,"[stolen] roubou, roubar, roubados, roubadas, roubado, roubada"
stone,"[stone] pedra, tirar o caroço de, tira o caroço de, 348 kg, 6, apedrejar, caroço, caroços, cálculo, cálculos, pedras, seixo, seixos, tiram o caroço de, tiramos o caroço de, tiro o caroço de"
stop,"[stop] parar, para, pare, deter, fica, ficam, ficamos, ficar, ficaram, ficarei, ficaria, ficará, ficarão, ficaríamos, fico, ficou, impedir, parada, paragem, param, paramos, pararam, pararei, pararia, pararmos, parará, pararão, pare de, parem, paremos, paro, parou, passar, passou, ponto, veda, vedam, vedamos, vedar, vedaram, vedarei, vedaria, vedará, vedarão, vedaríamos, vedo, vedou"
stopped,"[stopped] parado, parou, parasse, deter, ficado, ficamos, ficar, ficaram, ficaria, ficaríamos, ficava, ficavam, ficou, ficámos, ficávamos, fiquei, impedir, parada, parados, paragem, paramos, parar, pararam, pararia, pararão, parassem, parava, paravam, parei, parámos, parávamos, ponto final, vedado, vedamos, vedar, vedaram, vedaremos, vedaria, vedará, vedarão, vedaríamos, vedava, vedavam, vedei, vedou, vedámos, vedávamos"
store,"[store] loja, armazena, porá de reserva, armazenam, armazenamos, armazenar, armazenará, armazeno, armazém, entreposto, fará provisão de, faz provisão de, fazem provisão de, fazemos provisão de, fazer provisão de, faço provisão de, grande armazém, junta, juntam, juntamos, juntar, juntará, junto, memória, pomos de reserva, ponho de reserva, provisão, pôr de reserva, põe de reserva, põem de reserva, reserva"
stories,"[stories] histórias, andares, artigos, cascatas"
story,"[story] história, andar, andares, artigo, caso"
straight,"[straight] direto, direito, direitos, diretamente, diretas, em frente, em ordem, franco, linha reta, liso, puro, recta, retas, reto, retos"
strategy,[strategy] estratégia
strawberry,[strawberry] morango
street,[street] rua
strength,"[strength] força, resistência, solidez"
strengths,"[strengths] pontos fortes, forças, resistências"
strike,"[strike] greve, faz greve, faço greve, acende, acendem, acendemos, acender, acendo, atacam, atacar, ataque, atinge, atingem, atingimos, atingir, atinjo, bate (em), bate (horas), batem (em), batem (horas), batemos (em), batemos (horas), bater (em), bater (horas), bato (em), bato (horas), dar, descoberta, descobre, descobrem, descobrimos, descobrir, descubro, dou, dá, dão, fazem greve, fazemos greve, fazer greve, risca, riscam, riscamos, riscar, risco, soa, soam, soar"
string,"[string] corda, fio, barbante, cadarço, enfia, enfiam, enfiar, enfio, fila, linha, réstia, série"
strong,"[strong] forte, fortes"
student,"[student] estudante, aluno, aluna, alunas, alunos, de estudantes, estudantil"
students,"[students] estudantes, alunos, aluna, alunas, aluno, universitários"
studied,"[studied] escritório, estudado, estudamos, estudar, estudaram, estudava, estudei, estudo, estudou, estudávamos"
studies,"[studies] estuda, estudos, escritório, escritórios, estudar, estudo"
study,"[study] estudo, estudar, estudam, curso, estuda, estudamos, estudaremos, estudarão, estudaríamos, estude, estudei, estudou, pesquisa"
studying,"[studying] estudando, estudar, escritório, estudado, estudo"
style,"[style] estilo, cria, criam, criar, criaríamos, crio, desenha, desenham, desenhar, desenharíamos, desenho, feitio, género, gênero, moda, modelo, tipo"
subject,"[subject] assunto, matéria, submete, submetem, submetemos, submeter, submeteria, submeterá, submeto, sujeito, tema"
subjects,"[subjects] assuntos, matérias, submete, submeter"
subway,"[subway] metrô, metro"
success,"[success] sucesso, êxito"
such,"[such] tão, tal, dessas, assim, e tanto, tanta, tanto"
suffer,"[suffer] sofrer, sofre, sofrem, sofremos, sofreremos, sofro, suporta, suportam, suportamos, suportar, toleram, tolerar, tolero"
sugar,"[sugar] açúcar, pôs açúcar em, ponho açúcar em, adoça, adoçam, adoçamos, adoçar, adoçaram, adoçaria, adoço, adoçou, açucar, pomos açúcar em, porei açúcar em, poria açúcar em, puseram açúcar em, pôr açúcar em, põe açúcar em, põem açúcar em"
suit,"[suit] terno, adapta, adaptam, adaptar, adaptarei, adapto, costume, fica bem em, ficam bem em, ficar bem em, ficarei bem em, fico bem em, traje"
suitcase,"[suitcase] mala, caixa, caixote, maleta"
suits,"[suits] naipes, adaptar, saia-casaco, costumes, fatos, trajes, ficar bem em, fica bem em, ternos, adapta, paletós, convir a, convém a"
sum,"[sum] soma, conta, importância, quantia, somar"
summer,"[summer] verão, de verão, estio, verões"
sun,[sun] sol
sunday,"[sunday] domingo, domingos"
sundays,"[sundays] domingos, domingo"
sunglasses,"[sunglasses] óculos de sol, óculos escuros"
sunny,"[sunny] ensolarado, ensolarada, ensolarados"
suns,[suns] sóis
supermarket,[supermarket] supermercado
support,"[support] apoio, apoiar, sustentam, apoia, apoiam, apoiamos, apoiarei, apoiaria, apoiará, apoiarão, apoiei, dar suporte, dou suporte, patrocina, patrocinam, patrocinamos, patrocinar, patrocinarei, patrocinaria, patrocinará, patrocinarão, patrocinei, patrocino, suporta, suportam, suportamos, suportar, suportarei, suportaria, suportará, suportarão, suporte, suportei, suporto, sustenta, sustentamos, sustentar, sustentarei, sustentaria, sustentará, sustentarão, sustentei, sustento, suster, torce por, torcem por, torcemos por, torcer por, torcerei por, torceria por, torcerá por, torcerão por, torci por, torço por"
supported,"[supported] apoiou, apoiado, apoiamos, apoiar, apoiaram, apoiava, apoiavam, apoiei, apoiávamos, patrocinado, patrocinamos, patrocinar, patrocinaram, patrocinava, patrocinavam, patrocinei, patrocinou, patrocinávamos, suportado, suportamos, suportar, suportaram, suportava, suportavam, suportei, suportou, suportávamos, sustentado, sustentamos, sustentaram, sustentava, sustentavam, sustentei, sustentou, sustentávamos, suster, torcemos por, torcer por, torceram por, torceu por, torci por, torcia por, torciam por, torcido, torcíamos por, torto por"
supports,"[supports] apoia, apoiar, apoios, patrocina, patrocinar, suporta, suportar, suportes, sustenta, sustentar, sustentos, suster, torce por, torcer por"
sure,"[sure] de certeza, com certeza, não há dúvida que, certeza, certo, claro, deveras, segura, seguro, seguros"
surface,"[surface] superfície, emerge, emergem, emergimos, emergir, reveste, revestem, revestimos, revestir, superficial, superficie"
surfing,"[surfing] surfando, surfar, surfe"
surprise,"[surprise] surpresa, surpreende, surpreendem, surpreender, surpreenderam, surpreendeu, surpreendo"
surprised,"[surprised] surpresa, surpresos, surpreso, admirado, surpreendemos, surpreender, surpreenderam, surpreendeu, surpreendi, surpreendia, surpreendiam, surpreendida, surpreendidas, surpreendido, surpreendidos, surpreendíamos, surpresas"
surprises,"[surprises] surpresas, surpreende, surpreender"
swam,"[swam] rodaram, atravessámos/atravessamos a nado, rodava, rodámos/rodamos, nadou, nadar, atravessava a nado, banho, atravessou a nado, nadámos/nadamos, nadei, nadava, nadavam, nado, atravessaram a nado, nadaram, rodar, atravessei a nado, rodávamos, atravessávamos a nado, natação, atravessavam a nado, rodavam, rodei, rodou, nadávamos, atravessar a nado"
sweet,"[sweet] doce, doces, agradável, gentil, gracinha, suave"
sweets,"[sweets] agradáveis, doces, gracinhas, gracinha, agradável, doce"
swim,"[swim] nadar, nadam, nado, atravessa a nado, atravessam a nado, atravessamos a nado, atravessar a nado, atravessaram a nado, atravessarei a nado, atravessaremos a nado, atravessará a nado, atravessarão a nado, atravesso a nado, atravessou a nado, banho, nada, nadamos, nadaram, nadarei, nadaremos, nadará, nadarão, nade, nadou, nadávamos, natação, roda, rodam, rodamos, rodar, rodaram, rodarei, rodaremos, rodará, rodarão, rodo, rodou, saibam nadar"
swimming,"[swimming] nadando, nadar, natação, atravessando a nado, atravessar a nado, banho, nado, rodando, rodar"
swims,"[swims] nada, nado, atravessar a nado, atravessa a nado, banhos, nadar, natação, roda, rodar"
symbol,[symbol] símbolo
symbols,[symbols] símbolos
system,"[system] sistema, organismo"
systems,[systems] sistemas
table,"[table] mesa, tabela, adiaram, apresento, escrivaninha, lista, planilha, quadro"
take,"[take] levar, tomar, pegue, aceita, aceitam, aceitou, aguenta, aguentam, aguentamos, aguentar, aguento, apanha, apanhamos, apanhar, apanhe, apanho, assumir, calças, como, dar, demorar, demorou, exige, exigem, exigimos, exigir, exijo, farei, faremos, faria, fará, farão, faz, fazem, fazemos, fazer, fazerem, fazê, faça, faço, fez, fiz, fizeram, leva, levada, levam, levamos, levarei, levarem, levaremos, levarmos, levará, leve, levem, levo, levou, levá, pega, pegamos, pegar, pegarmos, pego, pegou, peguemos, retiram, retire, retiro, suporta, suportam, suportamos, suportar, suporto, tira, tiram, tiramos, tirar, tire, tiro, tirou, toma, tomam, tomamos, tomarei, tomaremos, tome, tomo, tomou"
take care,"[take care] cuide, cuidamos, cuidar, cuidado, se cuida"
take off,"[take off] levantar voo, decolou"
take your hat off,[take your hat off]
taken,"[taken] tirado, pegado, levado, agarrado em, agarrar em, aguentado, aguentar, agüentar, apanhei, apanhou, comido, dado, demorou, eu tomei, exigido, exigir, fazer, feito, fiz, fizeram, levada, levadas, levados, levar, pegado em, pegar em, pego, pegou, peguei, suportado, suportar, tirada, tiradas, tirar, tomado, tomar, tomou"
takes,"[takes] leva, pega, tira, agarra em, agarrar em, aguenta, aguentar, agüentar, apanha, demora, demoramos, exige, exigir, faz, fazer, levar, levares, pega em, pegar, pegar em, retira, suporta, suportar, tirar, toma, tomar"
taking,"[taking] levando, tirando, fazendo, agarrando em, aguentando, agüentar, apanhando, apanhar, comendo, cursando, cursar, dar, demorando, exigindo, fazer, feito, pegando em, pegar, suportando, tirar, tomando, tomar"
taking off,"[taking off] tirar, decolar, remover, removendo, tirando, decolando"
talk,"[talk] falar, fala, falamos, conversa, conversam, conversamos, conversar, conversaram, conversarei, conversaremos, conversaria, conversará, conversarão, conversaríamos, converse, conversei, conversem, converso, falam, falaram, falarei, falarem, falaremos, falaria, falariam, falará, falarão, falaríamos, falasse, falassem, fale, falei, falem, falo, nos falamos, palestra"
talked,"[talked] conversado, falei, falado, conversamos, conversaram, conversava, conversavam, conversei, conversou, conversávamos, falamos, falar, falaram, falará, falarão, falassem, falava, falavam, falou, falávamos"
talking,"[talking] falar, falando, conversando, conversa, conversado, conversar, fala, falado, palestra"
talks,"[talks] fala, conversa, conversar, conversas, falar, falas, palestra, palestras"
tall,"[tall] alto, alta, altos, altas, de altura"
taller,"[taller] mais altos, mais altas, mais alta, alto, maior, mais alto"
tallest,"[tallest] alto/alta, mais alta, mais alto"
task,"[task] tarefa, trabalho"
taught,"[taught] deste, ensinado, ensinar, ensinados, era professor, leccionar, sido professor, lecionava, lecionou, lecionar, lecionado, ensinei, ensinou, lecionei, ensinava, ser professor, dado, ensinada, deram, deu, dei, foi professor, ensinadas, ensinaram"
tax,"[tax] imposto, imposto de renda, sobre o rendimento, lança impostos sobre, lançam impostos sobre, lançamos impostos sobre, lançar impostos sobre, pomos à prova, pôr à prova, põe à prova, põem à prova, taxa, taxam, taxamos, taxar, tributa, tributam, tributamos, tributar"
taxes,"[taxes] impostos, lança impostos sobre, põe à prova, rolar na pista, taxa, taxiar, tributa, táxis"
taxi,"[taxi] táxi, taxi"
tea,[tea] chá
teach,"[teach] ensino, ensinar, ensina, dar, dá, ensinam, ensinamos, ensinarei, ensinaremos, ensinará, ensinarão, leccionar, leciona, lecionam, lecionamos, lecionar, lecionarei, lecionaremos, lecionará, lecionarão, leciono, ser professor, serei professor, seremos professor, será professor, serão professor, somos professor, sou professor, são professor, é professor"
teacher,"[teacher] professor, professor de, professora, professoras"
teachers,"[teachers] professores, professor, professora, professoras"
teaches,"[teaches] ensina, é professor, ser professor, dá, ensinar, leccionar, leciona, lecionar"
teaching,"[teaching] ensinar, ensinando, de ensino, dar aulas, docente, educação, ensinado, ensinamento pedagógico, ensino, instrução, leccionar, lecionando, lecionar, sendo professor"
team,"[team] time, equipe, junta"
technique,[technique] técnica
techniques,[techniques] técnicas
technology,[technology] tecnologia
teeth,[teeth] dentes
telephone,"[telephone] telefone, telefona, telefona a, telefonam, telefonam a, telefonamos, telefonamos a, telefonar, telefonar a, telefonarei, telefonarei a, telefonaria, telefonaria a, telefonariam, telefonariam a, telefonará, telefonará a, telefones, telefono, telefono a"
television,"[television] televisão, tv"
tell,"[tell] contar, dizer, diga, avise, conta, contam, contaram, contarei, contaria, contarmos, contará, contarão, conte, contei, contem, conto, contou, contou para, diferençar, digam, digo, direi, diremos, dirá, dirão, disse, dissemos, disseram, distingo, distingue, distingui, distinguir, distinguiram, distinguiria, distinguirá, diz, dizem, dizemos, fala, falam, falamos, falar, falaram, falarei, falaremos, falaria, falará, falarão, falassem, fale, falei, falem, falo, falou, sabe, sabem, sabemos, saber, saberemos, saberia, saberá, saberão, sei, sente, sentir, soube, soubemos, souberam"
tells,"[tells] diz, conta, contar, diferençar, diga, distingue, distinguir, dizer, fala, falar, sabe, saber, sente, ver-se"
temperature,[temperature] temperatura
temperatures,[temperatures] temperaturas
ten,[ten] dez
tennis,"[tennis] tênis, ténis"
tenth,"[tenth] décimo, dia dez"
terrible,"[terrible] terríveis, péssima, terrível"
test,"[test] teste, prova, exame, apertado, controla, controlam, controlamos, controlar, controlaram, controlarei, controlaremos, controlaria, controlará, controlarão, controle, controlo, controlou, embriagado, ensaia, ensaiam, ensaiamos, ensaiar, ensaiaram, ensaiarei, ensaiaremos, ensaiaria, ensaiará, ensaiarão, ensaio, ensaiou, esticado, examina, examinam, examinamos, examinar, examinaram, examinarei, examinaremos, examinaria, examinará, examinarão, examino, examinou, interroga, interrogam, interrogamos, interrogar, interrogaram, interrogarei, interrogaremos, interrogaria, interrogará, interrogarão, interrogo, interrogou, justo, rigoroso, tenso"
tests,"[tests] testes, apertado, controla, controlar, controles, embriagado, ensaia, ensaiar, ensaios, esticado, exames, examina, examinar, interroga, interrogar, justo, os testes, provas, rigoroso, tenso"
text,"[text] texto, mandar uma mensagem, mandar uma mensagem com, mandarei uma mensagem, mensagem"
than,"[than] que, do que, de que, de"
thank,"[thank] agradeço, agradecem, graças, agradece, agradecemos, agradecer, agradecerei, agradeceria"
thank you,"[thank you] obrigado, obrigada"
thanks,"[thanks] obrigado, obrigada, agradece, agradecer, agradecimentos, valeu"
that,"[that] que, isso, aquele, a qual, aquela, aquelas, aqueles, aquilo, da qual, daquela, daquele, daquilo, dessa, desse, disso, do qual, essa, essas, esse, esse aí, esses, esteja, naquela, naquele, naquilo, nesse, nisso, o qual, pela qual, porque, quais, tanto, tão, àquela, àquele"
that'll,"[that'll] aquilo vai, isso vai, isto vai, isso será"
that's,[that's]
that's fine,[that's fine] tudo bem
that's right,[that's right]
the,"[the] o, a, os, ao, aos, as, da, das, de, do, dos, na, no, à, às"
the check,[the check]
the day before yesterday,[the day before yesterday] anteontem
the rest,[the rest]
theater,[theater] teatro
their,"[their] a, a sua, as, as delas, as deles, as suas, de, delas, dele, deles, o, o seu, os, os delas, os deles, os seus, seu, seus, sua, suas"
theirs,"[theirs] delas, o(s) deles, a(s) delas, a(s) sua(s), das, dela, dele, deles, o(s) seu(s), seu/sua, seus/suas, sua, suas"
them,"[them] eles, para eles, a, as, delas, deles, elas, las, lhes, lo, los, neles, os, para elas"
themselves,"[themselves] se, consigo mesmo, delas mesmas, elas mesmas, elas próprias, eles mesmos, eles próprios, si mesmos"
then,"[then] então, daí, depois, aí, em seguida, nessa altura, nessa ocasião, nesse caso, portanto"
theories,[theories] teorias
theory,[theory] teoria
there,"[there] lá, aí, ali, existem"
there's,"[there's] tem, haja, houver, que haja, tenha, houve, há, resta"
these,"[these] estes, estas, esta, destas, deste, destes, essas, esses, este, isto"
they,"[they] eles, elas, tenham"
they'll,"[they'll] eles, vão, elas"
they're,"[they're] é, eles estão, elas estão, eles vão, elas são, ele são, são, elas têm, elas, eles, estão"
they've,"[they've] eles tem, eles, têm, elas tem, elas"
